session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Fluent languages,Industry,Nationality,Sex,Student Status
6126441edc481a15404614b5,61153dddb843b4ee095f8a2c,REJECTED,2021-08-25 13:25:05.928000,2021-08-25 13:28:23.227000,197.299,25,77,2,96,2021-08-25 15:57:07.608000,9EC36FE2,United States,United States,DATA EXPIRED,English,English,Real Estate Rental and Leasing,United States,Female,No
6126455bd719b41776978595,610bf08fd52257fdab17cfe4,RETURNED,2021-08-25 13:27:58.629000,,1057615.144758,24,79,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
612649d3e628387ee3e338c6,60feddccb0434a2577a930ca,APPROVED,2021-08-25 13:47:23.639000,2021-08-25 13:59:04.186000,700.547,55,79,0,100,2021-08-25 15:59:44.770000,9EC36FE2,United States,United States,Full-Time,English,English,Real Estate Rental and Leasing,United States,Female,No
61264f0e8084cd990274f6ad,5ed5d28a7981f617185819ff,APPROVED,2021-08-25 14:09:20.820000,2021-08-25 14:26:26.127000,1025.307,34,1033,1,100,2021-08-25 15:59:44.833000,9EC36FE2,United States,United States,DATA EXPIRED,English,English,Real Estate Rental and Leasing,United States,Male,DATA EXPIRED
612654506497554272f93519,5e208482d53585397ac17440,RETURNED,2021-08-25 14:31:48.036000,,1053785.795161,32,758,4,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
612656aea598fb4f51647205,61085e2ceee7f23d0a8de76f,APPROVED,2021-08-25 14:41:50.812000,2021-08-25 14:50:48.531000,537.719,27,6,0,100,2021-08-25 15:59:44.900000,9EC36FE2,United States,United States,Full-Time,English,English,Real Estate Rental and Leasing,United States,Female,No
612658fdee1f0c3d9838c6d8,6100a65828da5be11d11c404,APPROVED,2021-08-25 14:51:43.541000,2021-08-25 14:59:07.460000,443.919,24,91,1,99,2021-08-25 15:59:44.961000,9EC36FE2,United States,United States,Full-Time,English,English,Real Estate Rental and Leasing,United States,Female,No
612659cb233cf9d077863741,61125e6ba4d0b8858cbe9786,APPROVED,2021-08-25 14:55:14.388000,2021-08-25 15:03:58.989000,524.601,24,50,0,100,2021-08-25 15:59:45.020000,9EC36FE2,United States,United States,Full-Time,English,English,Real Estate Rental and Leasing,United States,Female,No
61265b6d9262445c70ec258c,5f907f31b1e858149a93c58a,APPROVED,2021-08-25 15:02:05.268000,2021-08-25 15:08:40.226000,394.958,53,705,4,99,2021-08-25 15:59:45.135000,9EC36FE2,United States,United States,Full-Time,English,"English, French, German, Italian, Portuguese, Spanish",Real Estate Rental and Leasing,United States,Male,No
61265c7a82d4fe5bf204a73d,60fefcee36c5b89919ef39b4,RETURNED,2021-08-25 15:07:11.701000,,1051662.242153,26,51,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
